"paper","long_cite","short_cite","doi","expt_num","expt_cond","pretty_cond_name","subj","specific_subject_id","sex","agedays","order","exposure_phase","train1","train2","train3","train4","train5","train6","train7","train8","train9","train10","train11","train12","train13","train14","last_train_trial","last_train_looking","expected1","expected2","expected3","unexpected1","unexpected2","unexpected3","num_trials","exp_or_control","equal_per_nov","domain","principle","PI_group","stim_loop","paper_expt_info","data_contains_all_trials"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","904","brandone_2009.1.1_successfulreaching8.904","m",238.4,"unexp","habituation",10.4,9.6,13.8,9,17.6,14.8,9,2.2,5.5,NA,NA,NA,NA,NA,"9",5.5,2.2,16.4,10.8,2.1,19,10.7,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","924","brandone_2009.1.1_successfulreaching8.924","f",241.5,"exp","habituation",20.4,16.6,9.7,5.6,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",4.4,3.3,5.8,2.8,10,2.5,2.1,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","907","brandone_2009.1.1_successfulreaching8.907","m",233.4,"exp","habituation",2.5,10.7,6.9,8.9,18.5,13.8,10.4,22,12.6,12.6,NA,NA,NA,NA,"10",12.6,8.4,5.6,10.1,14,15.1,2.3,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","919","brandone_2009.1.1_successfulreaching8.919","f",232.4,"unexp","habituation",14.8,5.4,11.7,4.4,4,10.6,25.3,8.4,21.9,15.4,NA,NA,NA,NA,"10",15.4,10.6,4.2,6.4,21.9,6.4,7,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","909","brandone_2009.1.1_successfulreaching8.909","f",236.4,"unexp","habituation",13,13.9,9,20.4,20,5.6,17,13.9,2.2,10.7,NA,NA,NA,NA,"10",10.7,2.7,4,8.6,10.2,4.2,18.7,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","912","brandone_2009.1.1_successfulreaching8.912","m",231.3,"exp","habituation",11.9,11.3,9,6.8,6.9,19,19.2,19.4,14.2,11.7,NA,NA,NA,NA,"10",11.7,18.3,7.9,28.6,14.9,45.3,26.6,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","922","brandone_2009.1.1_successfulreaching8.922","m",251.6,"unexp","habituation",13.1,11.5,18.2,14.5,13,7.8,12.9,15.6,11,13.8,NA,NA,NA,NA,"10",13.8,7.5,9.3,7.8,10.9,12,11.7,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","915","brandone_2009.1.1_successfulreaching8.915","m",237.4,"exp","habituation",12.8,22.5,17.5,15.9,13.9,14.3,10.4,10.4,25.5,13.9,NA,NA,NA,NA,"10",13.9,7.3,14.2,2.2,14.8,15.4,9.3,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","921","brandone_2009.1.1_successfulreaching8.921","f",242.5,"unexp","habituation",18,16.6,17.2,32.7,16.5,11.8,11.5,10.7,10.6,13.6,NA,NA,NA,NA,"10",13.6,12.4,10.2,15.4,21.2,12.1,10.4,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","908","brandone_2009.1.1_successfulreaching8.908","m",251.6,"unexp","habituation",24.1,23.5,24.9,13.5,12.9,12.6,2.7,NA,NA,NA,NA,NA,NA,NA,"7",2.7,2,6,15.8,20.4,3.4,6.4,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","901","brandone_2009.1.1_successfulreaching8.901","f",244.5,"exp","habituation",21.5,23.3,29,13.9,14,11.4,33.4,8.2,24.5,19.3,NA,NA,NA,NA,"10",19.3,16.4,7.5,8.9,15.2,18.1,23.9,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","903","brandone_2009.1.1_successfulreaching8.903","f",235.4,"exp","habituation",27.9,42.8,32.2,10.6,12.8,15.2,NA,NA,NA,NA,NA,NA,NA,NA,"6",15.2,32.1,16.8,11.1,18,17.7,17.1,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching8","Brandone & Wellman (2009) Successful Reaching 8mo","917","brandone_2009.1.1_successfulreaching8.917","f",236.4,"exp","habituation",25.6,18.1,53,22.5,23.1,25.5,14.2,7.9,NA,NA,NA,NA,NA,NA,"8",7.9,2.2,20.2,10.1,12.6,4.1,12.6,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching8","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","51","brandone_2009.1.1_successfulreaching10.51","f",282.8,"exp","habituation",16.92,10.6,7.82,7.48,7.37,2.43,NA,NA,NA,NA,NA,NA,NA,NA,"6",2.43,2.92,8.28,2.17,7.45,6.7,11.73,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","57","brandone_2009.1.1_successfulreaching10.57","f",281,"unexp","habituation",2.07,2.13,3.27,6.9,4.27,2.3,2.1,4.43,2.85,3.33,NA,NA,NA,NA,"10",3.33,2.17,2.05,2.7,2.48,2.92,3.07,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","37","brandone_2009.1.1_successfulreaching10.37","m",283.1,"exp","habituation",6.12,6.22,2.05,2.18,4.88,2.17,2.95,2,NA,NA,NA,NA,NA,NA,"8",2,2.22,7.1,2.12,5.45,3.72,4.1,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","54","brandone_2009.1.1_successfulreaching10.54","m",307.1,"exp","habituation",9.62,2.4,2.6,4.53,2.47,2.05,2.7,NA,NA,NA,NA,NA,NA,NA,"7",2.7,2.87,2.03,2.07,2.7,8.58,2.65,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","52","brandone_2009.1.1_successfulreaching10.52","f",283.1,"exp","habituation",7.62,2.6,2.53,9.4,2.27,2.53,5.5,3.08,2.33,2.28,NA,NA,NA,NA,"10",2.28,2.03,7.63,2.48,11.88,6.58,2.72,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","46","brandone_2009.1.1_successfulreaching10.46","f",283.1,"exp","habituation",12.98,2.48,2.08,2.08,13.08,2.78,2.2,2.13,NA,NA,NA,NA,NA,NA,"8",2.13,9.18,2.47,2.25,2.45,2.55,2.45,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","33","brandone_2009.1.1_successfulreaching10.33","m",277,"exp","habituation",5.23,2.93,6.82,3.37,2.17,4.67,5.7,2.48,11.5,6.53,NA,NA,NA,NA,"10",6.53,2.12,2.53,2.07,3.02,2.52,2.95,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","74","brandone_2009.1.1_successfulreaching10.74","f",308.4,"exp","habituation",7.78,2.8,9.98,2.6,7.37,2.13,8.35,4.27,3.55,4.07,NA,NA,NA,NA,"10",4.07,4.03,6.03,4.08,8.88,4.55,2.43,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","43","brandone_2009.1.1_successfulreaching10.43","m",281.3,"exp","habituation",5.48,12.62,3.02,2.4,12.33,2.28,4.82,4.13,4,2.62,NA,NA,NA,NA,"10",2.62,2.23,2.32,9.2,2.72,2.68,2.48,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","30","brandone_2009.1.1_successfulreaching10.30","m",281,"unexp","habituation",11.77,2.95,5.17,11.8,2.62,3.02,2.78,NA,NA,NA,NA,NA,NA,NA,"7",2.78,10.67,7.97,8.57,4.7,11.25,6.58,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","44","brandone_2009.1.1_successfulreaching10.44","m",279.7,"unexp","habituation",2.33,5.12,2.45,12.13,11.28,11.67,10.15,2.05,9.93,8.93,NA,NA,NA,NA,"10",8.93,2.57,2.33,2.32,5.5,10.58,3.3,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","75","brandone_2009.1.1_successfulreaching10.75","m",308.1,"exp","habituation",11.7,13.07,10.72,9.17,2.47,3,NA,NA,NA,NA,NA,NA,NA,NA,"6",3,2.67,4.95,5.43,4.22,2.1,3.37,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","22","brandone_2009.1.1_successfulreaching10.22","m",280,"exp","habituation",12.9,6.33,7.5,2.4,11.45,10.42,9.12,9.25,8.82,8.12,NA,NA,NA,NA,"10",8.12,7.08,2,3.73,9.48,8.38,17.62,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","32","brandone_2009.1.1_successfulreaching10.32","f",275.8,"exp","habituation",11.9,11.67,10.93,3,11.37,9.97,9.85,9.68,9.37,5.3,NA,NA,NA,NA,"10",5.3,6.08,6.02,3.1,9.25,12.75,4.83,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","38","brandone_2009.1.1_successfulreaching10.38","f",279.7,"unexp","habituation",14,14.02,12.67,12.78,7.42,6.22,2.35,NA,NA,NA,NA,NA,NA,NA,"7",2.35,2.05,2.48,9.07,2.23,11.98,3.05,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","34","brandone_2009.1.1_successfulreaching10.34","f",308.4,"unexp","habituation",5.43,7.03,16.52,13.57,14.18,13.43,11.53,12.45,2.9,8.78,NA,NA,NA,NA,"10",8.78,7.77,3.62,4.07,14.8,18.57,2.22,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","31","brandone_2009.1.1_successfulreaching10.31","m",307.4,"unexp","habituation",12.95,11.5,16.2,12.6,15.1,8.08,9.5,8.8,9.5,2.8,NA,NA,NA,NA,"10",2.8,4.15,6.13,2.67,8.1,11.65,10.45,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","39","brandone_2009.1.1_successfulreaching10.39","f",304.4,"unexp","habituation",10.5,13.7,15.43,12.1,15.9,12,11.18,10.27,10.27,9.68,NA,NA,NA,NA,"10",9.68,2.78,6.97,6.65,10.1,9.62,9.38,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","26","brandone_2009.1.1_successfulreaching10.26","f",252.3,"unexp","habituation",2.88,7.08,11.72,16.7,16.25,13.73,17.3,15.03,10.17,11.52,NA,NA,NA,NA,"10",11.52,9.07,9.87,9.68,16.6,10.42,8.72,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","55","brandone_2009.1.1_successfulreaching10.55","f",306.2,"exp","habituation",12.38,15.22,11.22,13.78,8.93,15.1,17.53,10.55,12.13,14.1,NA,NA,NA,NA,"10",14.1,8.22,9.02,5.23,13.67,10.88,13.38,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
"brandone_2009","Brandone, A. C., & Wellman, H. M. (2009). You can't always get what you want: Infants understand failed goal-directed actions. Psychological science, 20(1), 85-91.","Brandone & Wellman (2009)","10.1111/j.1467-9280.2008.02246.x","1","1_successfulreaching10","Brandone & Wellman (2009) Successful Reaching 10mo","53","brandone_2009.1.1_successfulreaching10.53","m",307.1,"unexp","habituation",6.13,11.77,16.08,19.35,18.88,22.1,11.93,13.48,12.27,12.8,NA,NA,NA,NA,"10",12.8,10.37,8.85,2.85,10.92,11.3,3.85,6,"experimental","no","psychology","goals","wellman","no","brandone_2009.1.1_successfulreaching10","yes"
